City_ID,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
259,Nuuk,100,GL,100,64.1835,-51.7216,-3.66,4.12
260,San Fernando,40,PH,79,15.0286,120.6898,22.7,3.34
261,Ilo,0,PE,64,-17.6394,-71.3375,22.48,8.75
262,Lorengau,100,PG,77,-2.0226,147.2712,27.27,1.63
263,Dingle,100,PH,88,10.9995,122.6711,23.55,4.44
264,Dukat,79,RU,98,62.55,155.55,-41.45,1.84
265,Vostok,79,RU,99,46.4856,135.8833,-23.69,1.92
266,Tabou,37,CI,64,4.423,-7.3528,29.19,4.44
267,Ucar,82,AZ,41,40.519,47.6542,11.1,5.59
268,Inuvik,100,CA,85,68.3499,-133.7218,-17.58,1.03
269,Souillac,54,MU,77,-20.5167,57.5167,25.71,5.38
270,Mazyr,98,BY,49,52.0495,29.2456,-7.03,4.14
271,Cortez,0,US,86,37.3489,-108.5859,-2.39,1.54
272,Bilma,40,NE,19,18.6853,12.9164,24.21,3.06
273,Imbituba,74,BR,63,-28.24,-48.6703,24.17,3.91
274,Port Lincoln,0,AU,74,-34.7333,135.8667,19.25,1.09
275,Mayo,40,US,51,38.8876,-76.5119,9.03,5.14
276,Margate,100,GB,83,51.3813,1.3862,11.61,5.36
277,Upernavik,48,GL,83,72.7868,-56.1549,-25.61,4.03
278,Mehran,17,IR,66,33.1222,46.1646,12.74,1.08
279,Nguru,93,NG,11,12.8791,10.4526,28.64,5.1
280,Yanam,0,IN,78,16.7333,82.2167,20.6,1.57
281,Lebu,37,CL,66,-37.6167,-73.65,18.7,2.65
282,Turayf,20,SA,67,31.6725,38.6637,10.53,3.83
283,Curumani,76,CO,48,9.1999,-73.5427,32.89,1.19
284,Kimbe,100,PG,92,-5.5502,150.1429,24.98,0.85
285,Salinas,0,US,71,36.6777,-121.6555,13.37,4.63
286,Cabo San Lucas,0,MX,71,22.8909,-109.9124,21.4,0.0
287,Barcelos,100,PT,88,41.5388,-8.6151,14.08,4.38
288,Luwuk,100,ID,80,-0.9516,122.7875,25.81,2.37
289,Saldanha,36,ZA,74,-33.0117,17.9442,19.71,7.73
290,Nanortalik,100,GL,75,60.1432,-45.2371,-2.98,2.83
291,La Ronge,40,CA,95,55.1001,-105.2842,-12.15,1.92
292,Srednekolymsk,100,RU,96,67.45,153.6833,-38.7,2.96
293,Ueckermunde,100,DE,93,53.7379,14.0447,9.2,3.6
294,Cockburn Town,6,TC,73,21.4612,-71.1419,25.91,7.14
295,Ozinki,46,RU,89,51.1786,49.6769,-20.9,7.34
296,Mahad,8,IN,53,18.0833,73.4167,23.98,1.22
297,San Rafael Del Sur,5,NI,53,11.8485,-86.4384,28.54,5.31
298,Port Hardy,100,CA,90,50.6996,-127.4199,6.97,6.74
299,Chimore,2,BO,34,-16.9833,-65.1333,35.05,1.33
